完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
3239-501AA30,1,1,LA-3239-501AA30-DF,1,1,L1-3239-501AA30,1,1,MA-3239-501AA30,0,0,,0,0,,0,0,
3242-432AA26,1,1,L2-3242-432AA26,1,1,L1-3242-432AA26,1,1,MA-3242-432AA26,0,0,,0,0,,0,0,
3242-432AA30,1,1,L2-3242-432AA30,1,1,L1-3242-432AA30,1,1,MA-3242-432AA30,0,0,,0,0,,0,0,
3242-432AA32,1,1,L2-3242-432AA32,1,1,L1-3242-432AA32,1,1,MA-3242-432AA32,0,0,,0,0,,0,0,
3242-432AA34,1,1,L1-3242-432AA34,1,1,MA-3242-432AA34,0,0,,0,0,,0,0,,0,0,
335-501EB33,1,1,LA-335-501BA33-DF,1,1,L1-335-501BA33,1,1,MA-335-501BA33,0,0,,0,0,,0,0,
C352-501BA33,1,1,LA-335-501BA33-DF,1,1,L1-335-501BA33,1,1,MA-335-501BA33,0,0,,0,0,,0,0,
3501-55001AA26,1,1,LA-3501-55001AA26-DF,1,1,L1-3501-55001AA26,1,1,MA-3501-55001AA26,0,0,,0,0,,0,0,
3602-501AA26,1,1,LA-3501-55001AA26-DF,1,1,L1-3501-55001AA26,1,1,MA-3501-55001AA26,0,0,,0,0,,0,0,
3501-55001AA30,1,1,LA-3501-55001AA30-DF,1,1,L1-3501-55001AA30,1,1,MA-3501-55001AA30,0,0,,0,0,,0,0,
3602-501AA30,1,1,LA-3501-55001AA30-DF,1,1,L1-3501-55001AA30,1,1,MA-3501-55001AA30,0,0,,0,0,,0,0,
3536-501AA30,1,1,LA-3538-501AB30-DF,1,1,L1-3538-501AB30,1,1,MA-3538-501AB30,0,0,,0,0,,0,0,
3538-501AB30,1,1,LA-3538-501AB30-DF,1,1,L1-3538-501AB30,1,1,MA-3538-501AB30,0,0,,0,0,,0,0,
3538-501AB34,1,1,LA-3538-501AB34-DF,1,1,L1-3538-501AB34,1,1,MA-3538-501AB34,0,0,,0,0,,0,0,
3540-501AA34,1,1,LA-3538-501AB34-DF,1,1,L1-3538-501AB34,1,1,MA-3538-501AB34,0,0,,0,0,,0,0,
3538-608AA30,1,1,L1-3538-608AA30,1,4,MA-603-608AA30-DRUM,0,0,,0,0,,0,0,,0,0,
3538-608AA34,1,1,L1-3538-608AA34,1,4,MA-954-60136-DRUM,0,0,,0,0,,0,0,,0,0,
3540-608AA34,1,1,L1-3538-608AA34,1,4,MA-954-60136-DRUM,0,0,,0,0,,0,0,,0,0,
5310-501BA33,1,1,LA-358-501B33-DF,1,1,L1-358-501B33,1,1,MA-358-501B33,0,0,,0,0,,0,0,
3538-501BB30,1,1,LA-3636-501BC30-DF,1,1,L1-3636-501BC30,1,1,MA-3636-501BC30,0,0,,0,0,,0,0,
3636-501BB30,1,1,LA-3636-501BC30-DF,1,1,L1-3636-501BC30,1,1,MA-3636-501BC30,0,0,,0,0,,0,0,
