No,完成部番,単位数分子,単位数分母,前工程
4,100-204BA,1.0,1.0,MA-100-204BA
5,100-204BA,1.0,1.0,MC-100-204BA
6,100-204BA,1.0,1,PA-100-204BA
1,100-205AA,0.0,0.0,
2,100-205AA,0.0,0.0,
3,100-205AA,0.0,0.0,
4,100-205AA,0.0,0.0,
5,100-205AA,1.0,1.0,MA-100-205AA
6,100-205AA,1.0,1,MC-100-205AA
1,100-205BA,0.0,0.0,
2,100-205BA,0.0,0.0,
3,100-205BA,0.0,0.0,
4,100-205BA,1.0,1.0,MA-100-205BA
5,100-205BA,1.0,1.0,MC-100-205BA
6,100-205BA,1.0,1,PA-100-205BA
1,100-205FA,0.0,0.0,
2,100-205FA,0.0,0.0,
3,100-205FA,0.0,0.0,
4,100-205FA,1.0,1.0,MA-100-205FA
5,100-205FA,1.0,1.0,MC-100-205FA
6,100-205FA,1.0,1,PA-100-205FA
1,100-206C1333,0.0,0.0,
2,100-206C1333,0.0,0.0,
3,100-206C1333,0.0,0.0,
4,100-206C1333,0.0,0.0,
5,100-206C1333,1.0,1.0,MA-100-206C
6,100-206C1333,1.0,1,L-100-206C1333
1,100-206D1150,0.0,0.0,
2,100-206D1150,0.0,0.0,
3,100-206D1150,0.0,0.0,
4,100-206D1150,0.0,0.0,
5,100-206D1150,1.0,1.0,MA-165-256BA1531
6,100-206D1150,1.0,1,L-100-206D1150
1,100-208-AA0490,0.0,0.0,
2,100-208-AA0490,0.0,0.0,
3,100-208-AA0490,0.0,0.0,
4,100-208-AA0490,0.0,0.0,
5,100-208-AA0490,1.0,1.0,MA-100-208-AA0490
6,100-208-AA0490,1.0,1,PL-100-208-AA0490
1,100-208-AA0700,0.0,0.0,
2,100-208-AA0700,0.0,0.0,
3,100-208-AA0700,0.0,0.0,
4,100-208-AA0700,0.0,0.0,
5,100-208-AA0700,1.0,1.0,MA-100-208-AA0700
6,100-208-AA0700,1.0,1,PL-100-208-AA0700
1,100-208-AA0800,0.0,0.0,
2,100-208-AA0800,0.0,0.0,
3,100-208-AA0800,0.0,0.0,
4,100-208-AA0800,0.0,0.0,
5,100-208-AA0800,1.0,1.0,MA-100-208-AA0800
6,100-208-AA0800,1.0,1,PL-100-208-AA0800
1,100-208-AA0930,0.0,0.0,
2,100-208-AA0930,0.0,0.0,
3,100-208-AA0930,0.0,0.0,
4,100-208-AA0930,0.0,0.0,
5,100-208-AA0930,1.0,1.0,MA-100-208-AA0930
6,100-208-AA0930,1.0,1,PL-100-208-AA0930
1,100-208-AA1081,0.0,0.0,
2,100-208-AA1081,0.0,0.0,
3,100-208-AA1081,0.0,0.0,
4,100-208-AA1081,0.0,0.0,
5,100-208-AA1081,1.0,1.0,MA-100-208-AA1081
6,100-208-AA1081,1.0,1,PL-100-208-AA1081
1,100-208-AA1150,0.0,0.0,
2,100-208-AA1150,0.0,0.0,
3,100-208-AA1150,0.0,0.0,
4,100-208-AA1150,0.0,0.0,
5,100-208-AA1150,1.0,1.0,MA-100-208-AA1150
6,100-208-AA1150,1.0,1,PL-100-208-AA1150
1,100-208-AA1240,0.0,0.0,
2,100-208-AA1240,0.0,0.0,
3,100-208-AA1240,0.0,0.0,
4,100-208-AA1240,0.0,0.0,
5,100-208-AA1240,1.0,1.0,MA-100-208-AA1240
6,100-208-AA1240,1.0,1,PL-100-208-AA1240
1,100-208-AA1333,0.0,0.0,
2,100-208-AA1333,0.0,0.0,
3,100-208-AA1333,0.0,0.0,
4,100-208-AA1333,0.0,0.0,
5,100-208-AA1333,1.0,1.0,MA-100-208-AA1333
6,100-208-AA1333,1.0,1,PL-100-208-AA1333
1,100-208-AA1531,0.0,0.0,
2,100-208-AA1531,0.0,0.0,
3,100-208-AA1531,0.0,0.0,
4,100-208-AA1531,0.0,0.0,
5,100-208-AA1531,1.0,1.0,MA-100-208-AA1531
6,100-208-AA1531,1.0,1,PL-100-208-AA1531
1,100-208-AA1680,0.0,0.0,
2,100-208-AA1680,0.0,0.0,
3,100-208-AA1680,0.0,0.0,
4,100-208-AA1680,0.0,0.0,
5,100-208-AA1680,1.0,1.0,MA-100-208-AA1680
6,100-208-AA1680,1.0,1,PL-100-208-AA1680
1,100-208-AA2200,0.0,0.0,
2,100-208-AA2200,0.0,0.0,
3,100-208-AA2200,0.0,0.0,
4,100-208-AA2200,0.0,0.0,
5,100-208-AA2200,1.0,1.0,MA-100-208-AA2200
6,100-208-AA2200,1.0,1,PL-100-208-AA2200
