No,完成部番,単位数分子,単位数分母,前工程
5,115-444BB,1.0,1.0,MC-115-444BB
6,115-444BB,1.0,1.0,PA-115-444BB
5,115-444CA,1.0,1.0,MC-115-444CA
6,115-444CA,1.0,1.0,PA-115-444CA
5,115-444DA,1.0,1.0,MC-115-444DA
6,115-444DA,1.0,1.0,PA-115-444DA
6,1155-104AA,1.0,1.0,PA-1155-104AA
6,1155-104BA,1.0,1.0,PA-1155-104BA
5,1155-105AA38,1.0,1.0,AO-1155-105AA38
6,1155-105AA38,1.0,1.0,PA-1155-105AA38
5,1155-105AA48,1.0,1.0,AO-1155-105AA48
6,1155-105AA48,1.0,1.0,PA-1155-105AA48
5,1155-105AAL38,1.0,1.0,AO-1155-105AAL38
6,1155-105AAL38,1.0,1.0,PA-1155-105AAL38
5,1155-105AAL48,1.0,1.0,AO-1155-105AAL48
6,1155-105AAL48,1.0,1.0,PA-1155-105AAL48
5,1155-105AB48,1.0,1.0,AO-1155-105AB48
6,1155-105AB48,1.0,1.0,PA-1155-105AB48
5,1155-105ABL48,1.0,1.0,AO-1155-105ABL48
6,1155-105ABL48,1.0,1.0,PA-1155-105ABL48
5,1155-105BA48,1.0,1.0,AO-1155-105BA48
6,1155-105BA48,1.0,1.0,PA-1155-105BA48
5,1155-105BAL38,1.0,1.0,AO-1155-105BAL38
6,1155-105BAL38,1.0,1.0,PA-1155-105BAL38
5,1155-105BAL48,1.0,1.0,AO-1155-105BAL48
6,1155-105BAL48,1.0,1.0,PA-1155-105BAL48
5,1155-105BB48,1.0,1.0,AO-1155-105BB48
6,1155-105BB48,1.0,1.0,PA-1155-105BB48
5,1155-105BBL48,1.0,1.0,AO-1155-105BBL48
6,1155-105BBL48,1.0,1.0,PA-1155-105BBL48
5,1155-105CA48,1.0,1.0,AO-1155-105CA48
6,1155-105CA48,1.0,1.0,PA-1155-105CA48
5,1155-105CAL38,1.0,1.0,AO-1155-105CAL38
6,1155-105CAL38,1.0,1.0,PA-1155-105CAL38
5,1155-105CAL48,1.0,1.0,AO-1155-105CAL48
6,1155-105CAL48,1.0,1.0,PA-1155-105CAL48
5,1155-105CB48,1.0,1.0,AO-1155-105CB48
6,1155-105CB48,1.0,1.0,PA-1155-105CB48
5,1155-105CBL48,1.0,1.0,AO-1155-105CBL48
6,1155-105CBL48,1.0,1.0,PA-1155-105CBL48
5,1155-105CC48,1.0,1.0,AO-1155-105CC48
6,1155-105CC48,1.0,1.0,PA-1155-105CC48
5,1155-105CCL48,1.0,1.0,AO-1155-105CCL48
6,1155-105CCL48,1.0,1.0,PA-1155-105CCL48
5,1155-105DA48,1.0,1.0,AO-1155-105DA48
6,1155-105DA48,1.0,1.0,PA-1155-105DA48
5,1155-105DAL38,1.0,1.0,AO-1155-105DAL38
6,1155-105DAL38,1.0,1.0,PA-1155-105DAL38
5,1155-105DAL48,1.0,1.0,AO-1155-105DAL48
6,1155-105DAL48,1.0,1.0,PA-1155-105DAL48
5,1155-105DB48,1.0,1.0,AO-1155-105DB48
6,1155-105DB48,1.0,1.0,PA-1155-105DB48
5,1155-105DBL48,1.0,1.0,AO-1155-105DBL48
6,1155-105DBL48,1.0,1.0,PA-1155-105DBL48
5,1155-105DC48,1.0,1.0,AO-1155-105DC48
6,1155-105DC48,1.0,1.0,PA-1155-105DC48
5,1155-105DCL48,1.0,1.0,AO-1155-105DCL48
6,1155-105DCL48,1.0,1.0,PA-1155-105DCL48
6,1155-131BA,1.0,1.0,PA-1155-131BA
6,1155-131BB,1.0,1.0,PA-1155-131BB
5,1155-201AA1900,1.0,1.0,L-1155-201AA1900
6,1155-201AA1900,1.0,1.0,AO-1155-201AA1900
5,1155-202AA1900,1.0,1.0,L-1155-202AA1900
6,1155-202AA1900,1.0,1.0,AO-1155-202AA1900
5,1155-202BA1900,1.0,1.0,L-1155-202BA1900
6,1155-202BA1900,1.0,1.0,AO-1155-202BA1900
6,1155-206AA1900,1.0,1.0,L-1155-206AA1900
6,1155-211AA,1.0,1.0,PA-1155-211AA
6,1155-211BA,1.0,1.0,PA-1155-211BA
6,1155-220AA1900,1.0,1.0,PA-1155-220AA1900
6,1155-232AA1900,1.0,1.0,PA-1155-232AA1900
6,1155-233AA,1.0,1.0,PA-1155-233AA
6,1155-307AA48,1.0,1.0,PA-1155-307AA48
6,1155-307AB48,1.0,1.0,PA-1155-307AB48
6,1155-307BA48,1.0,1.0,PA-1155-307BA48
6,1155-307BB48,1.0,1.0,PA-1155-307BB48
6,1155-307CA48,1.0,1.0,PA-1155-307CA48
6,1155-307CB48,1.0,1.0,PA-1155-307CB48
6,1155-307DA48,1.0,1.0,PA-1155-307DA48
6,1155-307DB48,1.0,1.0,PA-1155-307DB48
6,1155-444AA,1.0,1.0,PA-1155-444AA
6,1155-444BA,1.0,1.0,PA-1155-444BA
5,12-201DB1133,1.0,1.0,L-12-201DB1133
6,12-201DB1133,1.0,1.0,AO-12-201DB1133
5,12-201E-1133,1.0,1.0,L-12-201E-1133
6,12-201E-1133,1.0,1.0,AO-12-201E-1133
5,12-201K1133,1.0,1.0,L-12-201K1133
6,12-201K1133,1.0,1.0,AO-12-201K1133
5,12-201K1353,1.0,1.0,L-12-201K1353
6,12-201K1353,1.0,1.0,AO-12-201K1353
5,12-201L1133,1.0,1.0,L-12-201L1133
6,12-201L1133,1.0,1.0,AO-12-201L1133
5,12-201L1353,1.0,1.0,L-12-201L1353
6,12-201L1353,1.0,1.0,AO-12-201L1353
5,12-201L1353J,1.0,1.0,L-12-201L1353J
6,12-201L1353J,1.0,1.0,AO-12-201L1353J
5,12-201L1353S,1.0,1.0,L-12-201L1353S
6,12-201L1353S,1.0,1.0,AO-12-201L1353S
5,12-206D,1.0,1.0,MC-12-206D
6,12-206D,1.0,1.0,PA-12-206D
6,12-210,1.0,1.0,HT-12-210
5,12-219C,1.0,1.0,MC-12-219C
6,12-219C,1.0,1.0,PA-12-219C
6,12-222A,1.0,1.0,HT-12-222A
6,12-222B,1.0,1.0,HT-12-222B
6,12-230,1.0,1.0,HT-12-230
6,12-231,1.0,1.0,PL-12-231
6,12-231C,1.0,1.0,HT-12-231C
6,1231-12A03CA38,1.0,1.0,PA-1231-12A03CA38
6,1231-12A04AA30,1.0,1.0,PA-1231-12A04AA30
6,1231-12A04BA30,1.0,1.0,PA-1231-12A04BA30
6,1231-12A05AA38,1.0,1.0,PA-1231-12A05AA38
6,1231-12A05DA30,1.0,1.0,PA-1231-12A05DA30
6,12-319L,1.0,1.0,MC-12-319L
6,12-328G-1,1.0,1.0,PL-12-328G-1
6,12-328G-2,1.0,1.0,PL-12-328G-2
6,12-347,1.0,1.0,PL-12-347
6,12-347B,1.0,1.0,PL-12-347B
6,12-347D,1.0,1.0,PL-12-347D
6,12-420FB,1.0,1.0,PA-12-420FB
5,12A-105EAL38,1.0,1.0,AO-12A-105EAL38
6,12A-105EAL38,1.0,1.0,PA-12A-105EAL38
5,130-202AA0670,1.0,1.0,L-130-202AA0670
6,130-202AA0670,1.0,1.0,AO-130-202AA0670
6,130-305DA,1.0,1.0,PA-130-305DA
6,130-309AA,1.0,1.0,PA-130-309AA
6,130-312AA,1.0,1.0,PL-130-312AA
6,131-106AA,1.0,1.0,PA-131-106AA
6,131-111AA,1.0,1.0,PA-131-111AA
6,131-112AA,1.0,1.0,PA-131-112AA
6,131-113AA,1.0,1.0,PA-131-113AA
6,131-114AA,1.0,1.0,PA-131-114AA
6,131-115AA,1.0,1.0,PA-131-115AA
6,131-116AA,1.0,1.0,PA-131-116AA
6,131-117AA,1.0,1.0,PA-131-117AA
6,131-118AA,1.0,1.0,PA-131-118AA
6,131-119AA,1.0,1.0,PA-131-119AA
6,131-120AA,1.0,1.0,PA-131-120AA
6,131-121AA,1.0,1.0,PA-131-121AA
6,131-122AA,1.0,1.0,PA-131-122AA
6,131-123AA,1.0,1.0,PA-131-123AA
6,131-124AA,1.0,1.0,PA-131-124AA
6,131-125AA,1.0,1.0,PA-131-125AA
6,131-126AA,1.0,1.0,PA-131-126AA
6,131-126BA,1.0,1.0,PA-131-126BA
6,131-127AA,1.0,1.0,PA-131-127AA
6,131-127BA,1.0,1.0,PA-131-127BA
6,131-127CA,1.0,1.0,PA-131-127CA
6,131-127DA,1.0,1.0,PA-131-127DA
6,131-128AA,1.0,1.0,PA-131-128AA
6,131-128BA,1.0,1.0,PA-131-128BA
6,131-129AA,1.0,1.0,PA-131-129AA
6,131-130AA,1.0,1.0,PA-131-130AA
6,131-130BA,1.0,1.0,PA-131-130BA
6,131-131AA,1.0,1.0,PA-131-131AA
6,131-131BA,1.0,1.0,PA-131-131BA
6,131-132AA,1.0,1.0,PA-131-132AA
6,131-701AA,1.0,1.0,PA-131-701AA
6,1331-105-8AW30,1.0,1.0,PA-1331-105-8AW30
6,1331-105-8BW30,1.0,1.0,PA-1331-105-8BW30
6,1331-105-8CW30,1.0,1.0,PA-1331-105-8CW30
6,1331-105-8CW38,1.0,1.0,PA-1331-105-8CW38
6,1331-105-8DW30,1.0,1.0,PA-1331-105-8DW30
6,1331-105-8DW38,1.0,1.0,PA-1331-105-8DW38
6,1331-105-9ABW30,1.0,1.0,PA-1331-105-9ABW30
6,1331-105-9ABW38,1.0,1.0,PA-1331-105-9ABW38
6,1331-105-9AW30,1.0,1.0,PA-1331-105-9AW30
6,1331-105-9AW38,1.0,1.0,PA-1331-105-9AW38
6,1331-105-9BBW30,1.0,1.0,PA-1331-105-9BBW30
6,1331-105-9BBW38,1.0,1.0,PA-1331-105-9BBW38
6,1331-105-9BW30,1.0,1.0,PA-1331-105-9BW30
6,1331-105-9BW38,1.0,1.0,PA-1331-105-9BW38
6,1331-105-9DW30,1.0,1.0,PA-1331-105-9DW30
6,1331-105-9DW38,1.0,1.0,PA-1331-105-9DW38
6,1331-105-9GA30,1.0,1.0,PA-1331-105-9GA30
