ITEM_CD,PRODUCT_TYP
101-601EB33,7
101-601FB33,7
101-601GB26,7
101-601HB38,7
101-601JB30,7
101-601JB33,7
103-402AA12,7
103-402AA19,7
103-402AA20,7
103-402AA26,7
103-413-12,7
103-413-19,7
103-414AA12,7
103-414AA19,7
103-414AA26,7
103-414BA12,7
103-44012,7
103-44019,7
103-44026,7
103-440B12,7
103-440B19,7
103-440B20,7
103-440B26,7
103-440CA12,7
103-601A09,7
103-601A11,7
103-601A12,7
103-601A14,7
103-601A15,7
103-601A16,7
103-601A17,7
103-601A18,7
103-601A19,7
103-601A20,7
103-601A21,7
103-601A22,7
103-601A23,7
103-601A24,7
103-601A25,7
103-601A26,7
103-601A9,7
103-601FA16,7
103-601FA17,7
103-601FA18,7
103-601FA19,7
103-601FA20,7
103-601FA24,7
103-601GA13,7
1031-102AA,7
1031-102BA,7
1031-103BA48,7
1031-401AA48,7
1031-406AA48,7
1035-406AA24,7
1035-406AA26,7
1035-406AA30,7
1035-406BA30,7
1035-417AA26,7
1035-417AA30,7
1035-418AA26,7
1035-418AA30,7
1035-490AA26,7
1035-490AA30,7
1035-491AA26,7
1035-491AA30,7
1043-401AA30,7
1043-401AA38,7
1043-401BA30,7
1043-401BA38,7
1043-401CA30,7
1043-401CA38,7
1043-406BA26,7
1043-406BA30,7
1043-406DA30,7
1043-406DA34,7
1044-401AA30,7
1044-401BA30,7
1044-401CA30,7
1044-401DA26,7
1044-401DA30,7
1044-401EA30,7
1044-401FA30,7
1044-404AA,7
1044-404AB,7
1044-404AC,7
1044-404AD,7
1044-404BB,7
1044-404BC,7
1044-404BD,7
1044-404CA,7
1044-430AA,7
1044-430BA,7
1044-430DA,7
1044-430EA,7
1044-430FA,7
1044-431AA30,7
1044-431BA30,7
1044-431BB30,7
1044-431BC30,7
1044-431BD30,7
1044-431BE30,7
1044-431CA30,7
1044-431CB30,7
1044-432AA30,7
1044-436AA30,7
1044-436AA34,7
1044-436AB30,7
1044-436AB34,7
1044-436AC30,7
1044-436AC34,7
1044-438AA30,7
1044-438AA34,7
1044-440AA30,7
1044-440AB30,7
1044-440BA30,7
1044-440BA32,7
1044-440BA34,7
1044-440CA26,7
1044-440CA30,7
1044-440CA34,7
1044-440DA30,7
1044-440DA34,7
1044-440EA30,7
1044-441AA30,7
1044-441AB30,7
1044-441AB34,7
1045-102AA,7
1045-102BA,7
1045-402AA26,7
1045-404ACC,7
1045-404BCC,7
1045-404CCC,7
1045-406AA26,7
1045-411AA26,7
1045-425AA,7
1045-428AA,7
1045-431AA30,7
1045-434AA,7
1045-435AA26,7
1045-435BA26,7
1045-435CA,7
1045-435DA,7
1045-436AA26,7
1045-436AA30,7
1045-441AA26,7
1045-451AA26,7
1045-452AA30,7
1045-601AA26,7
105-102AA,7
105-102AB,7
105-102BA,7
105-102BB,7
105-102BC,7
105-102CA,7
105-102CB,7
105-102DA,7
105-102EA,7
105-102EB,7
105-102FA,7
105-102GA,7
105-102HA,7
105-102JA,7
105-102KA,7
105-102LA,7
105-102MA,7
105-102RA,7
105-102SA,7
105-102TA,7
105-102TB,7
105-102TC,7
105-102TD,7
105-102UA,7
105-103AA42,7
105-103AA48,7
105-103AA56,7
105-103AB48,7
105-103BA48,7
105-103BA56,7
105-105SA,7
105-111CA,7
105-111CA-CUT,7
105-111DA,7
105-111DA-CUT,7
105-111EA,7
105-111FA,7
105-309BA,7
105-401CA48,7
105-401CA56,7
105-401DA48,7
105-401DA56,7
105-40542,7
105-4054202002592074,7
105-4054202403168050,7
105-4054202603396,7
105-4054202603456,7
105-4054202703552,7
105-4054202803552,7
105-4054202803660,7
105-4054401602160,7
105-4054401602208,7
105-4054401602232,7
105-4054402803744,7
105-40546,7
105-4054602403420,7
105-4054602403456,7
105-4054602603744,7
105-4054602803912,7
105-4054602804032,7
105-40548,7
105-4054802203264,7
105-4054802403552,7
105-4054802603744,7
105-4054802603864,7
105-4054802603936,7
105-4054802804128,7
105-4054802804296,7
105-4055002804368,7
105-40552,7
105-4055202203600,7
105-4055202804428,7
105-4055202804464,7
105-4055401803108,7
105-4055402804752,7
105-4055402804824,7
105-4055602604536,7
105-4055602804920,7
105-40558,7
105-40560,7
105-4056001402640,7
105-4056002003720,7
105-4056002604896,7
105-4056002805040,7
105-4056002805112,7
105-4056002805280,7
105-4056002805376,7
105-405AA42,7
105-405AA4202002640072,7
105-405AA4202403168000,7
105-405AA4202403168050,7
105-405AA4202803552048,7
105-405AA44,7
105-405AA4402002736072,7
105-405AA4402403312050,7
105-405AA46,7
105-405AA4602002856074,7
105-405AA4602403456050,7
105-405AA48,7
105-405AA4802003000072,7
105-405AA4802203264062,7
105-405AA4802403552052,7
105-405AA52,7
