HMCD,SEQ,KTSEQ,KTCD,SRCD,SGNCD,DDTIME,SGTIME,LDTIME,SRPRICE,CSBCD,SUPCLSCD,SUPCD,RCVTSTKBN,RCVCHKKBN,INSTID,INSTDT,UPDTID,UPDTDT
100-609UE,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609W,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609WE,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609YE,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609YF,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-619DD1,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-619DD3,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-619DD5,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-619EC1,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-619FB1,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-619FB3,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-619FB5,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-619GB1,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-702B,1,10,PL,1973,仮,0,0,30,0,10,,,2,2,,,,
100-702BB,1,10,PL,1973,仮,0,0,0,0,10,,,2,2,,,,
100-702BC,1,10,PL,1973,仮,0,0,0,0,10,,,2,2,,,,
100-704AA26,1,10,PA,9999,仮,0,0,0,0,10,,,2,2,,,,
100-704AA26Y,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-704AA30,1,10,PA,9999,仮,0,0,0,0,10,,,2,2,,,,
100-704AA30P,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-704AA30Y,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-704AA38,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
101-105-3ZCA,1,10,PL,1973,仮,0,0,0,0,10,,,2,2,,,,
101-105-5ZAA,1,10,PL,1973,仮,0,0,0,0,10,,,2,2,,,,
103-453,1,10,PA,1515,仮,0,0,25,0,10,,,2,2,,,,
1031-12A01AA38,1,10,PA,3406,仮,0,0,20,0,10,,,2,2,,,,
1031-12A01CA38,1,10,PA,3406,仮,0,0,0,0,10,,,2,2,,,,
1035-12A01AA30,1,10,PA,3406,仮,0,0,0,0,10,,,2,2,,,,
1035-12A01BA30,1,10,PA,無し,仮,0,0,0,0,10,,,2,2,,,,
1035-12A01CA30,1,10,PA,3406,仮,0,0,25,0,10,,,2,2,,,,
1035-12A02AA30,1,10,PA,3406,仮,0,0,0,0,10,,,2,2,,,,
1044-439AB,1,10,MC,3523,仮,0,0,30,0,10,,,2,2,,,,
1044-440DA26,1,10,L1,1800,仮,0,0,0,0,10,,,2,2,,,,
1044-440DA28,1,10,L1,1800,仮,0,0,0,0,10,,,2,2,,,,
1044-442AA,1,10,MC,3523,仮,0,0,40,0,10,,,2,2,,,,
1044-449AC,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
1045-307AA,1,10,PA,3406,仮,0,0,0,0,10,,,2,2,,,,
1045-432AA,1,10,PL,1973,仮,0,0,30,0,10,,,2,2,,,,
1045-437AA,1,10,PL,1973,仮,0,0,5,0,10,,,2,2,,,,
1045-453AA,1,10,PA,1515,仮,0,0,15,0,10,,,2,2,,,,
1045-455AA,1,10,PL,1973,仮,0,0,20,0,10,,,2,2,,,,
1045-460AA,1,10,PL,1973,仮,0,0,20,0,10,,,2,2,,,,
1045-463AA,1,10,PL,1973,仮,0,0,20,0,10,,,2,2,,,,
105-12A01AB48,1,10,PA,9999,仮,0,0,10,0,10,,,2,2,,,,
105-201AA56,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-201AA56,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
105-201BA1333,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-201BA1333,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
105-201BA1531,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-201BA1531,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
105-201BA2000,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-201BA2000,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
105-202AB2300,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-202AB2300,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
105-202BA56,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-202BA56,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
105-202DA1333,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-202DA1333,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
105-202DA1531,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-202DA1531,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
105-202DA2000,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-202DA2000,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
105-202EA1333,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-202EA1333,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
105-202EA1531,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-202EA1531,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
105-202EA1531T,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-202EA1531T,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
105-202EA2000,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-202EA2000,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
105-206AA1333,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-206AA2000,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-207BA1333,1,10,PL,無し,仮,0,0,75,0,10,,,2,2,,,,
105-210BA,1,10,MC,3737,仮,0,0,75,0,10,,,2,2,,,,
105-211AA,1,10,MC,3737,仮,0,0,75,0,10,,,2,2,,,,
105-213BA,1,10,MC1,3994,仮,0,0,0,0,10,,,2,2,,,,
105-213BA,2,20,MC2,3994,仮,0,0,0,0,10,,,2,2,,,,
105-213BA,3,30,PA,無し,仮,0,0,0,0,10,,,2,2,,,,
105-220EA1333,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-220EA1333,2,20,AO（無）,3994,仮,0,0,75,0,10,,,2,2,,,,
105-220EA1531,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-220EA1531,2,20,AO（無）,3994,仮,0,0,75,0,10,,,2,2,,,,
105-220FA1333,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-220FA1333,2,20,AO（無）,3994,仮,0,0,75,0,10,,,2,2,,,,
105-220FA1531,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
105-220FA1531,2,20,AO（無）,3994,仮,0,0,75,0,10,,,2,2,,,,
105-228BA2200,1,10,PA,無し,仮,0,0,75,0,10,,,2,2,,,,
105-229AA,1,10,MC,3737,仮,0,0,75,0,10,,,2,2,,,,
105-232HA,1,10,PL,無し,仮,0,0,75,0,10,,,2,2,,,,
105-232HB,1,10,PL,無し,仮,0,0,75,0,10,,,2,2,,,,
105-232HC,1,10,PL,無し,仮,0,0,75,0,10,,,2,2,,,,
105-236AA,1,10,TH,3052,仮,0,0,0,0,10,,,2,2,,,,
105-260AA,1,10,PA,1515,仮,0,0,75,0,10,,,2,2,,,,
105-271A2300,1,10,PA,無し,仮,0,0,18,0,10,,,2,2,,,,
105-303BA09038,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
105-306AA,1,10,PA,1515,仮,0,0,14,0,10,,,2,2,,,,
105-306BA,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
