No.,記入日,記入者,発注部番（数字・ｶﾀｶﾅは半角）,品名（数字・ｶﾀｶﾅは半角）,個数,単価,納期（必須）,工具受領日,業者コード,業者名略称,合計金額,備考,注文書発行日,注文番号,検収日,部品注文番号／組立番号／製作依頼番号,完成部番,比率（分子（素材））,比率（分母（完成部番））,備考
95,11/30,宮木,S50C-7.5X40X400,S50C 6F  7.5(±0.1)×40(±0.1)×400(±0.1) ,10,"1,480",2018/12/5,済,3315,京阪プレ－ト,"14,800",12/1植木殿メール,2018/12/4,E3322758,2018/12/11,,,,,
96,12/4,宮木,S50C-32X150X300,S50C 6F  32(±0.1)×150(±0.1)×300(±0.1) ,2,"4,650",2018/12/6,済,3315,京阪プレ－ト,"9,300",12/4阪本殿メール,2018/12/5,E3325204,2018/12/17,,,,,
97,12/6,宮木,SKD11-5.8X50X200,SKD11 4F  5.8(±0.02)×50(±0.1)×200(±0.1) ,15,"2,960",2018/12/10,済,3315,京阪プレ－ト,"44,400",12/6植木殿メール,2018/12/6,E3327255,2018/12/26,,,,,
98,12/6,宮木,SKD11-4.8X50X200,SKD11 4F  4.8(±0.02)×50(±0.1)×200(±0.1) ,50,"2,790",2018/12/10,済,3315,京阪プレ－ト,"139,500",12/6植木殿メール,2018/12/6,E3327256,2018/12/26,,,,,
99,12/6,宮木,SKD11-7.0X50X200,SKD11 4F  7.0(±0.02)×50(±0.1)×200(±0.1) ,120,"2,710",2018/12/10,済,3315,京阪プレ－ト,"325,200",12/6植木殿メール,2018/12/6,E3327257,2018/12/28,,,,,
100,12/6,宮木,SKD11-6.0X50X200,SKD11 4F  6.0(±0.02)×50(±0.1)×200(±0.1) ,160,"2,400",2018/12/12,済,3045,大同DMソリューション（株）,"384,000",12/6植木殿メール,2018/12/6,E3327258,2018/12/13,,,,,
101,12/6,宮木,SKD11-6.7X50X200,SKD11 4F  6.7(±0.02)×50(±0.1)×200(±0.1) ,25,"2,400",2018/12/12,済,3045,大同DMソリューション（株）,"60,000",12/6植木殿メール,2018/12/6,E3327259,2018/12/13,,,,,
102,12/6,宮木,SKD11-9.0X50X200,SKD11 4F  9.0(±0.02)×50(±0.1)×200(±0.1) ,55,"2,600",2018/12/12,済,3045,大同DMソリューション（株）,"143,000",12/6植木殿メール,2018/12/6,E3327517,2018/12/13,,,,,
103,12/14,宮木,SKD11-23X200X200,SKD11 6F  23(±0.1)×200(±0.1)×200(±0.1) ,2,"9,320",2018/12/17,済,3315,京阪プレ－ト,"18,640",12/14阪本殿メール,2018/12/14,E3341394,2018/12/25,,,,,
104,12/26,宮木,SCM440-21X70X250,SCM440 6F  21(±0.1)×70(±0.1)×250(±0.1) ,4,"3,550",2019/1/8,済,3315,京阪プレ－ト,"14,200",12/26阪本殿メール,2018/12/27,E3364199,2019/1/18,,,,,
