No,完成部番,単位数分子,単位数分母,前工程
4,3652-501BA34,1.0,1.0,MA-3636-501BC34
5,3652-608AA30,1.0,3.0,MA-814-60830-DRUM
5,3654-608AA30,1.0,3.0,MA-814-60830-DRUM
5,3660-608AB30,1.0,3.0,MA-814-60830-DRUM
5,3650-608AA34,1.0,3.0,MA-814-60834-DRUM
5,3652-608AA34,1.0,3.0,MA-814-60834-DRUM
4,3906-601EA20,1.0,1.0,MA-3906-601AA20
4,6210-601AA34,1.0,1.0,MA-5207-601DA34
4,5213-601AA30,1.0,1.0,MA-5211-601AA30
4,5213-601AA34,1.0,1.0,MA-5211-601AA34
4,5610-601AB34,1.0,1.0,MA-5211-601AA34
4,5213-601AA36,1.0,1.0,MA-5211-601AA36
4,5310-501AA33,1.0,1.0,MA-5310-501AA33
4,5517-501AA30,1.0,1.0,MA-5500-501DB30
4,5520-501AB30,1.0,1.0,MA-5500-501DB30
4,5532-501AA30,1.0,1.0,MA-5500-501DB30
4,6210-501AA34,1.0,1.0,MA-5500-501DB34
