No,完成部番,単位数分子,単位数分母,前工程
4,5108-602EC33,0.0,0.0,
5,5108-602EC33,0.0,0.0,
6,5108-602EC33,1.0,1,MA-RH-0031A-05E
1,5108-502EB33,0.0,0.0,
2,5108-502EB33,0.0,0.0,
3,5108-502EB33,0.0,0.0,
4,5108-502EB33,0.0,0.0,
5,5108-502EB33,1.0,1.0,MA-5108-502AA33
6,5108-502EB33,1.0,1,L1-5108-502AA33
1,5108-602BB33,0.0,0.0,
2,5108-602BB33,0.0,0.0,
3,5108-602BB33,0.0,0.0,
4,5108-602BB33,0.0,0.0,
5,5108-602BB33,0.0,0.0,
6,5108-602BB33,1.0,1,MA-RH-0031A-05C
1,1751-406CB17,0.0,0.0,
2,1751-406CB17,0.0,0.0,
3,1751-406CB17,0.0,0.0,
4,1751-406CB17,1.0,1.0,MA-1751-406CB17
5,1751-406CB17,1.0,1.0,L1-1751-406CB17
6,1751-406CB17,1.0,1,LA-1751-406CB17-MC
1,1751-406CB20,0.0,0.0,
2,1751-406CB20,0.0,0.0,
3,1751-406CB20,0.0,0.0,
4,1751-406CB20,1.0,1.0,MA-1751-406CB20
5,1751-406CB20,1.0,1.0,L1-1751-406CB20
6,1751-406CB20,1.0,1,LA-1751-406CB20-MC
1,1751-406CB18,0.0,0.0,
2,1751-406CB18,0.0,0.0,
3,1751-406CB18,0.0,0.0,
4,1751-406CB18,1.0,1.0,MA-1751-406CB18
5,1751-406CB18,1.0,1.0,L1-1751-406CB18
6,1751-406CB18,1.0,1,LA-1751-406CB18-MC
1,1751-406CB21,0.0,0.0,
