,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6,単位数分子7,単位数分母7,前工程7,単位数分子8,単位数分母8,前工程8,単位数分子9,単位数分母9,前工程9,単位数分子10,単位数分母10,前工程10,作成者,作成日,更新者,更新日,理由,,,,,,,,
I,5527-501BB19,1,1,L1-5527-501BB19,1,1,MA-5527-501BB19,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170508,2017-7月　V-LEC6F久しぶり　,,,,,,,,
I,560-601AA30,1,1,L1-560-601AA30,1,1,MA-560-601AA30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20171011,はるか昔の部品復活,,,,,,,,
I,560-60830,1,1,L1-560-60830,1,1,MA-560-60830,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20171011,はるか昔の部品復活,,,,,,,,
I,790-502AA30,1,1,L1-790-502AA30,1,1,MA-790-502AA30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20171011,はるか昔の部品復活,,,,,,,,
H,3154-405AA190,1,1,L1-81-405FA19,1,1,MA-81-405FA19,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170519,新規部品対応,,,,,,,,
H,3154-405AA220,1,1,L1-81-405FA22,1,1,MA-81-405FA22,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170519,新規部品対応,,,,,,,,
H,3154-410AA190,1,3,LC-970-41019-S,1,1,MA-970-41019-S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170519,新規部品対応,,,,4個⇒3個に変更　2021/2/24　栗山,,,,
H,3154-410AA220,1,3,LC-970-41022-S,1,1,MA-970-41022-S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170519,新規部品対応,,,,4個⇒3個に変更　2021/2/24　栗山,,,,
I,1531-103BA24,1,1,MA-1531-103BA24,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,山田,20190329,MC-1531-103BA24削除（常盤には設備無し、Vの時代まで）,,,,,,,,
I,1531-102DA,1,1,MA-1531-102AA,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170508,2017-7月　V-LEC6F久しぶり　,,,,,,,,
I,1531-102EB,1,1,MA-1531-102BA,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170508,2017-7月　V-LEC6F久しぶり　,,,,,,,,
I,KF30-00901AA,1,1,MA-KF30-00901AA,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170508,2017-7月　V-LEC6F久しぶり　,,,,,,,,
I,1355-404BA,1,1,MA-1355-404BA,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170906,PA工程を内作化,,,,,,,,
I,115-103BA38,1,1,MA-115-103BA38,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20180129,新規部品対応,,,,,,,,
I,115-102JA,1,1,MA-115-102JA,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20180129,新規部品対応,,,,,,,,
I,K-13801D,1,1,MC-K-13801D,1,1,MA-K-13801D,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,,,旧部品登録,,,,,,,,
I,5154-501AA36,1,1,LA-161-501QA36-DF,1,1,L1-161-501QA36,1,1,MA-161-501QA36,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150620,,,,,,,,,,,
