No,完成部番,単位数分子,単位数分母,前工程
6,5165-516AB30,1.0,1.0,COM-5165-516AB30
6,5165-516BA30,1.0,1.0,COM-5165-516BA30
6,5165-612AA30,1.0,1.0,COM-5165-612AA30
6,5165-614AA30,1.0,1.0,COM-5165-614AA30
6,5165-615AA30,1.0,1.0,COM-5165-615AA30
6,5165-615LA30,1.0,1.0,COM-5165-615LA30
6,5165-616AA30,1.0,1.0,COM-5165-616AA30
6,5165-619AA30,1.0,1.0,COM-5165-619AA30
6,5165-620AA30,1.0,1.0,COM-5165-620AA30
6,5165-621AA30,1.0,1.0,COM-5165-621AA30
6,5165-622AA30,1.0,1.0,COM-5165-622AA30
6,5173-607AA34,1.0,1.0,COM-5173-607AA34
6,5173-607BA34,1.0,1.0,COM-5173-607BA34
6,5173-611AA34,1.0,1.0,COM-5173-611AA34
6,5173-611BA34,1.0,1.0,COM-5173-611BA34
6,5173-612AA34,1.0,1.0,COM-5173-612AA34
6,5173-612BA34,1.0,1.0,COM-5173-612BA34
6,5173-631AA34,1.0,1.0,COM-5173-631AA34
6,5173-632AA34,1.0,1.0,COM-5173-632AA34
6,5540-511CA38,1.0,1.0,COM-5540-511CA38
6,5540-511DA38,1.0,1.0,COM-5540-511DA38
6,5540-512BA38,1.0,1.0,COM-5540-512BA38
6,5540-513BA38,1.0,1.0,COM-5540-513BA38
6,5540-514BA38,1.0,1.0,COM-5540-514BA38
6,5154-514BA30,1.0,1.0,COM-5154-514BA30
6,5520-515BA,1.0,1.0,COM-5520-515BA
6,5532-566CA34,1.0,1.0,COM-5532-566CA34
6,5520-566FA38,1.0,1.0,COM-5520-566FA38
6,5520-566GA30,1.0,1.0,COM-5520-566GA30
6,5520-569AB38,1.0,1.0,COM-5520-569AB38
6,5520-569BA30,1.0,1.0,COM-5520-569BA30
6,5520-570BC38,1.0,1.0,COM-5520-570BC38
6,5161-511AA14,1.0,1.0,COM-5161-511AA14
6,5161-512AA14,1.0,1.0,COM-5161-512AA14
6,5161-513AA14,1.0,1.0,COM-5161-513AA14
6,5161-514AA14,1.0,1.0,COM-5161-514AA14
6,5161-521AA14,1.0,1.0,COM-5161-521AA14
6,5161-522AA14,1.0,1.0,COM-5161-522AA14
6,5161-523AA14,1.0,1.0,COM-5161-523AA14
6,5161-524AA14,1.0,1.0,COM-5161-524AA14
6,5161-611AA14,1.0,1.0,COM-5161-611AA14
6,5161-613AA14,1.0,1.0,COM-5161-613AA14
6,5161-614AA14,1.0,1.0,COM-5161-614AA14
6,5161-621AA14,1.0,1.0,COM-5161-621AA14
6,5161-622AA14,1.0,1.0,COM-5161-622AA14
6,5161-623AA14,1.0,1.0,COM-5161-623AA14
6,5161-623GA14,1.0,1.0,COM-5161-623GA14
6,5161-624AA14,1.0,1.0,COM-5161-624AA14
6,850-511B,1.0,1.0,COM-850-511B
6,5520-566AA30,1.0,1.0,COM-5520-566AA30
6,5520-566BA38,1.0,1.0,COM-5520-566BA38
6,5520-570AA30,1.0,1.0,COM-5520-570AA30
6,6105-605AC42,1.0,1.0,COM-6105-605AC42
6,6105-611AA38,1.0,1.0,COM-6105-611AA38
6,6105-612AA38,1.0,1.0,COM-6105-612AA38
6,6105-613AB38,1.0,1.0,COM-6105-613AB38
6,6105-621AC38,1.0,1.0,COM-6105-621AC38
6,6105-626CA38,1.0,1.0,COM-6105-626CA38
6,B336-504AA38,1.0,1.0,COM-B336-504AA38
6,B336-504BA38,1.0,1.0,COM-B336-504BA38
6,B336-505AA38,1.0,1.0,COM-B336-505AA38
6,B336-505BA38,1.0,1.0,COM-B336-505BA38
6,B336-511BA38,1.0,1.0,COM-B336-511BA38
6,B336-511BB38,1.0,1.0,COM-B336-511BB38
6,B336-513AB38,1.0,1.0,COM-B336-513AB38
6,B336-524AA38,1.0,1.0,COM-B336-524AA38
6,603-643BA,1.0,1.0,COM-603-643BA
6,603-643QA,1.0,1.0,COM-603-643QA
6,631-65126,1.0,1.0,COM-631-65126
6,631-682AA30,1.0,1.0,COM-631-682AA30
6,631-682BA30,1.0,1.0,COM-631-682BA30
6,631-685AA26,1.0,1.0,COM-631-685AA26
6,631-685BA26,1.0,1.0,COM-631-685BA26
6,5529-579AA38,1.0,1.0,COM-5529-579AA38
6,6105-524AA38,1.0,1.0,COM-6105-524AA38
6,6105-566AA38,1.0,1.0,COM-6105-566AA38
