No,完成部番,単位数分子,単位数分母,前工程
5,L8AL-DB4,1.0,1.0,SKD6G2523
6,L8AL-DB4,1.0,1.0,L8AL-MB4
4,L8AL-DB4A33,36.0,1000.0,SKD11025067
5,L8AL-DB4A33,1.0,1.0,SKD6G2526
6,L8AL-DB4A33,1.0,1.0,L8AL-MB4A33
4,L8AL-DB4AA36,36.0,1000.0,SKD11025067
5,L8AL-DB4AA36,1.0,1.0,SKD6G2526
6,L8AL-DB4AA36,1.0,1.0,L8AL-MB4AA36
4,L8AL-DB5,45.0,1000.0,SKD11025067
5,L8AL-DB5,1.0,1.0,SKD6G2532
6,L8AL-DB5,1.0,1.0,L8AL-MB5
4,L8AL-DB5A33,45.0,1000.0,SKD11025067
5,L8AL-DB5A33,1.0,1.0,SKD6G2532
6,L8AL-DB5A33,1.0,1.0,L8AL-MB5A33
4,L8AL-DB5AA36,45.0,1000.0,SKD11025067
5,L8AL-DB5AA36,1.0,1.0,SKD6G2532
6,L8AL-DB5AA36,1.0,1.0,L8AL-MB5AA36
4,L8AL-DB6,45.0,1000.0,SKD11025067
5,L8AL-DB6,1.0,1.0,SKD6G2532
6,L8AL-DB6,1.0,1.0,L8AL-MB6
4,L8AL-DB6A33,45.0,1000.0,SKD11025067
5,L8AL-DB6A33,1.0,1.0,SKD6G2532
6,L8AL-DB6A33,1.0,1.0,L8AL-MB6A33
4,L8AL-DC1,38.0,1000.0,SKD11025055
5,L8AL-DC1,1.0,1.0,SKD5E2532
6,L8AL-DC1,1.0,1.0,L8AL-MC1
4,L8AL-DC1A33,39.0,1000.0,SKD11025055
5,L8AL-DC1A33,1.0,1.0,SKD5E2533
6,L8AL-DC1A33,1.0,1.0,L8AL-MC1A33
4,L8AL-DC1A38,41.0,1000.0,SKD11025055
5,L8AL-DC1A38,1.0,1.0,SKD5E2535
6,L8AL-DC1A38,1.0,1.0,L8AL-MC1A38
4,L8AL-DC2,38.0,1000.0,SKD11025055
5,L8AL-DC2,1.0,1.0,SKD5E2532
6,L8AL-DC2,1.0,1.0,L8AL-MC2
4,L8AL-DC2A33,38.0,1000.0,SKD11025055
5,L8AL-DC2A33,1.0,1.0,SKD5E2532
6,L8AL-DC2A33,1.0,1.0,L8AL-MC2A33
4,L8AL-DC2A38,41.0,1000.0,SKD11025055
5,L8AL-DC2A38,1.0,1.0,SKD5E2535
6,L8AL-DC2A38,1.0,1.0,L8AL-MC2A38
4,L8AL-DC2AA36,49.0,1000.0,SKD11030055
5,L8AL-DC2AA36,1.0,1.0,SKD5E3031
6,L8AL-DC2AA36,1.0,1.0,L8AL-MC2AA36
4,L8AL-DC5,48.0,1000.0,SKD11027067
5,L8AL-DC5,1.0,1.0,SKD6G2732
6,L8AL-DC5,1.0,1.0,L8AL-MC5
4,L8AL-DC5A33,48.0,1000.0,SKD11027067
5,L8AL-DC5A33,1.0,1.0,SKD6G2732
6,L8AL-DC5A33,1.0,1.0,L8AL-MC5A33
4,L8AL-DC5A38,48.0,1000.0,SKD11027067
5,L8AL-DC5A38,1.0,1.0,SKD6G2732
6,L8AL-DC5A38,1.0,1.0,L8AL-MC5A38
4,L8AL-DC5AA36,48.0,1000.0,SKD11027067
5,L8AL-DC5AA36,1.0,1.0,SKD6G2732
6,L8AL-DC5AA36,1.0,1.0,L8AL-MC5AA36
4,L8AL-DC6,48.0,1000.0,SKD11027067
5,L8AL-DC6,1.0,1.0,SKD6G2732
