5165-525AA42,1.0,1,COM-5165-525AA42,1.0,1.0,MA-5165-525AA42-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-541SA42,1.0,1,COM-5165-541SA42,1.0,1.0,MA-5165-541SA42-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-606AA30,1.0,1,COM-5165-606AA30,1.0,1.0,MA-5165-606AA30-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-606AA34,1.0,1,COM-5165-606AA34,1.0,1.0,MA-5165-606AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-606AA40,1.0,1,COM-5165-606AA40,1.0,1.0,MA-5165-606AA40-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-606AA44,1.0,1,COM-5165-606AA44,1.0,1.0,MA-5165-606AA44-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-606BA30,1.0,1,COM-5165-606BA30,1.0,1.0,MA-5165-606BA30-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-606BA34,1.0,1,COM-5165-606BA34,1.0,1.0,MA-5165-606BA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-606BA40,1.0,1,COM-5165-606BA40,1.0,1.0,MA-5165-606BA40-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-606BA44,1.0,1,COM-5165-606BA44,1.0,1.0,MA-5165-606BA44-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-607AA30,1.0,1,COM-5165-607AA30,1.0,1.0,MA-5165-607AA30-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-607AA34,1.0,1,COM-5165-607AA34,1.0,1.0,MA-5165-607AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-607AA40,1.0,1,COM-5165-607AA40,1.0,1.0,MA-5165-607AA40-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-607AA44,1.0,1,COM-5165-607AA44,1.0,1.0,MA-5165-607AA44-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-611AA30,1.0,1,COM-5165-611AA30,1.0,1.0,MA-5165-611AA30-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-611AA36,1.0,1,COM-5165-611AA36,1.0,1.0,MA-5165-611AA36-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-611AA42,1.0,1,COM-5165-611AA42,1.0,1.0,MA-5165-611AA42-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-612AA36,1.0,1,COM-5165-612AA36,1.0,1.0,MA-5165-612AA36-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
