FINAL_ITEM_CODE,PRODUCT_TYP
3906-601EA20,7
3922-601EA26,7
3923-601EA20,7
5145-601AA11,7
5145-601AA08,7
5145-601AA20,7
5172-601AA30,7
5176-601AA30,7
5176-601AA34,7
5521-601AB17,7
5534-601AA38,7
6105-601AA34,7
5527-501AA18,7
3659-432AA34,7
3242-651AC34,7
1731-406DA21,7
3650-651AA34,7
3922-601FA32,7
3922-652AB26,7
1731-406DA12,7
3923-652AA20,7
5156-601AB5.5,7
5172-641AA30,7
3166-601EA17,7
1831-501BB36,7
5165-601AA44,7
5534-641AA38,7
6105-641AA34,7
5542-641AA30,7
580-65230,7
748-666AA20,7
6108-641AA38,7
6108-601AA38,7
525-601EA30,7
525-608AA30,7
3166-501BA18,7
525-652AA30,7
5527-501BB18,7
5529-501CA36,7
5529-501BA36,7
1151-402AA,7
335-405AA33,7
1355-402AA24,7
1355-404BA,7
5145-502EA08,7
5145-502JA20,7
5145-502JA26,7
5145-602AA08,7
5145-602CA08,7
5145-602EA08,7
5145-602GA08,7
5145-602AA20,7
5147-602AA26,7
5147-602GA26,7
5156-502AA07,7
5156-502BA07,7
5156-502CA07,7
5156-502EA07,7
5156-602EA07,7
5172-502AB30,7
5172-602AA30,7
5172-602BA30,7
5176-502AA30,7
5176-502AA34,7
5165-602BA32,7
5217-602AA34,7
5534-602BA36,7
5534-602AA36,7
5217-602BA34,7
5534-601AA36,7
5217-602CA34,7
5520-502EA38,7
1831-406AA30,7
5521-502AB18,7
5534-501BA36,7
5521-602AC18,7
120-404DA,7
5521-602BB18,7
5534-502AD38,7
5529-602AA34,7
5534-602AB38,7
5534-602BA38,7
5542-502AA30,7
59-602GB20,7
6105-502AA34,7
6105-602DA34,7
6105-606AA34,7
6108-502FA36,7
6109-502AA38,7
6108-606AA38,7
6108-602AA38,7
6108-602BA38,7
6108-602CA38,7
6108-602DA38,7
945-502JA30,7
6105-602AA34,7
6105-602CA34,7
6105-602EA34,7
TS-5259HA01,5
TS-5259PA01,5
TS-5267-03601AB0580,5
TS-5267-03602AB0580,5
TS-5247-03901AD,5
TS-5247-03901BC,5
2185-236AA,7
1331-259PA2200,7
1651-237BA,7
1531-406AA40,7
5154-502AA34,7
3139-601EA40,7
3139-652AA40,7
1331-102VB,7
3139-608AA40,7
21A2-111AA,7
3139-652AC34,7
SPL-3011-502AA30,7
5142-641AB38,7
87-405EA40,7
3139-502BA40,7
5142-602BB38,7
161-406JB38,7
1831-501DA41,7
100-501NA40,7
3139-502FA34,7
1531-501ZQA40,7
5142-601AB38,7
5142-501NA38,7
1531-406AA26,7
1531-501ZQA26,7
3139-601EA36,7
3139-502BA36,7
3139-608AB36,7
3153-601EB26,7
5176-602AB34,7
3153-608AA26,7
3139-652AC36,7
3153-652AB26,7
3153-502JB26,7
171-406LA36,7
1151-401BA48,7
1151-406CA44,7
1155-141AA48,7
1155-141BA48,7
1155-141CA48,7
1155-402AA48,7
1155-413AA48,7
1155-414AA48,7
1155-440AA48,7
120-404KA,7
121-411BA44,7
12Q-411HA33,7
1531-102QA,7
1531-103JA20,7
1531-501EA26,7
1535-401AA20,7
5165-602AA44,7
161-406CF42,7
161-406PE33,7
162-309DA,7
171-406PA14,7
1731-417CA18,7
3145-502CA30,7
3538-501AA14,7
3538-501BA14,7
5142-602AA33,7
3538-601EA14,7
3538-608AA14,7
3538-652AA14,7
5121-405AA42,7
5121-502AA40,7
5121-501AA42,7
5121-501BA44,7
5121-601AA42,7
5121-601BA44,7
5310-501AA33,7
5310-501BA33,7
479-602EB30,7
5310-601AA33,7
5520-502XA,7
560-601AA26,7
560-60826,7
560-66626,7
1831-501BB34,7
6213-501AA30,7
6213-501BA30,7
6213-601AA30,7
960-409AA26,7
KF30-01101AA,7
3538-502JA14,7
1151-420AA48,7
3153-601FA30,7
5121-502AA42,7
5154-502AA36,7
5154-502EA36,7
3167-502AA30,7
5121-502JA48,7
1831-406AA32,7
6213-502AA30,7
790-502AA26,7
5310-502EA33,7
5177-502AA33,7
5121-602CA48,7
5121-602BA48,7
5121-602AA48,7
4115-601FA30,7
5121-602AA44,7
5121-602CA44,7
5121-602BA44,7
5177-602BA33,7
352B-602BB34,7
5121-602BA42,7
5534-502AA36,7
5310-602KA33,7
5310-602GA33,7
5310-602EA33,7
5310-602LA33,7
5310-602HA33,7
4305-608AA14,7
6104-602DB30,7
3242-608AB36,7
6213-602GA30,7
6213-602HA30,7
6213-602JA30,7
5121-502JA44,7
5121-602AA42,7
161-406PE34,7
478-602AC36,7
C352-601AA34,7
478-602AC30,7
478-602BC30,7
478-409FA34,7
3922-502KA30,7
3922-502JB26,7
78-405FA34,7
5177-602AA33,7
5177-501AA33,7
4305-502HA,7
4305-601EA14,7
3139-601FA34,7
1151-406CA48,7
121-411BA48,7
12Q-411MC31,7
161-402PA31,7
161-441AD31,7
1831-102BA,7
1831-103AA30,7
1831-401AA30,7
1831-401AA36,7
3654-601AA34,7
3558-690AA34,7
3654-601AA30,7
1831-418AA30,7
1831-418AA36,7
1831-501AA34,7
1831-501BA30,7
1831-501BA34,7
5520-502CD,7
1931-102AB,7
1931-111BA,7
2185-210AB,7
2185-211AB,7
3238-502AA34,7
3164-502AA30,7
5109-602BA33,7
5529-501BA30,7
161-406UA38,7
1635-406AA24,7
161-406JB32,7
3164-608AA34,7
5121-501BA48,7
5121-641AA42,7
5121-641AA44,7
1151-401CB48,7
5121-601BA48,7
5121-641AA48,7
6207-406BA3138,7
6207-602BC34,7
87-405EA38,7
G-6501JA,7
G-6501VDB,7
3166-501BA24,7
3139-652AC32,7
3139-502BA32,7
3139-502FA32,7
3139-601EA32,7
1931-102BB,7
1531-406AA42,7
C815-406CA26,7
1532-440FA34,7
6105-602FB38,7
5145-602AA12,7
5145-602BA12,7
5145-602CA12,7
5145-602GA12,7
1531-501ZQA42,7
3324-501BA26,7
5145-501AA12,7
815-501BA26,7
882-501BA34,7
3153-502EA42,7
474-502EA38,7
5109-502AA33,7
TS-5385HA300,7
826-502EA26,7
352B-602BB33,7
352B-602EC33,7
474-602BB38,7
474-602EB38,7
220-40933,7
3153-608AA42,7
815-60826,7
3238-608AA34,7
3238-601EA34,7
5145-601AA12,7
954-601EA26,7
3242-432AA34,7
3238-432AB34,7
3238-651AC34,7
78-405FA33,7
810-409B26,7
810-410CA26,7
810-652B26,7
3153-652AA42,7
5142-602BA44,7
5142-502AA44,7
5142-601BA44,7
5128-502AA38,7
5142-602AA44,7
12Q-411GA34,7
5128-602AA38,7
1931-401AA30,7
6214-502CA34,7
C352-501AA30,7
C352-501BA30,7
C352-601AB30,7
2190-211AA,7
2190-210AA,7
G-6503JA,7
478-641AB30,7
4109-502KA30,7
478-502AC30,7
161-406PE30,7
352B-602EC30,7
352B-502AA30,7
474-601AB34,7
12Q-411FA34,7
5157-502AA34,7
3164-502BA34,7
100-406A30,7
59-405A12,7
59-409B12,7
B336-602BB30,7
B336-602EC30,7
B336-641AB30,7
4117-652AA30,7
4117-652AA34,7
4117-601FA30,7
4117-601EA32,7
4117-652AA32,7
1751-411AA21,7
1831-103AA36,7
12Q-411GA36,7
5529-501BA34,7
5529-501CA34,7
335-501EB30,7
335-501DA30,7
B336-502EB30,7
5308-601AA30,7
12-304C,7
1831-501AA32,7
1831-501BA32,7
1532-440AA36,7
1631-111EA,7
5540-501AA36,7
5520-502LA,7
3158-601EA15,7
1731-406BA14,7
SPL-2950DA22,7
1731-406DA22,7
1731-417BA14,7
1731-418AA14,7
1731-501ZGA14,7
1731-501ZEA14,7
1731-501ZJA22,7
1731-501ZKB22,7
1831-401AA42,7
1831-406AA38,7
4121-652AA21,7
1831-418AA42,7
1831-501AA38,7
1831-501BA38,7
1831-501CA32,7
3139-608BA32,7
3153-652AB38,7
3154-502AA,7
3154-502CA,7
3154-502DA,7
3154-502FA,7
3164-502AA32,7
3164-601EA38,7
608-652AC30,7
3154-608AB22,7
5121-502EA30,7
3154-652AB22,7
3164-502AA38,7
3242-432AA30,7
3242-432AA36,7
3242-501AA36,7
5156-602AA5.5,7
6105-502FA34,7
3538-502FA34,7
3550-502EA34,7
19B-406ZA22,7
3139-601EA26,7
3139-608BA30,7
3145-502BA26,7
5176-502EB34,7
5154-602AA30,7
4305-608AB15,7
3145-652AA26,7
352B-502AA33,7
5142-501AB33,7
3145-502EB38,7
5142-601AA33,7
5142-602BB33,7
5142-641AA33,7
C352-601AA33,7
2185-211BA,7
3164-502AA40,7
5165-502AA38,7
6207-502SB34,7
5165-602AA38,7
5165-602BA38,7
6207-602AD34,7
5520-502HA,7
3164-608AA36,7
