OYAHMCD,KTCD,BUCD,SRCD,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
100-303AA1253810N,PA,100,1515,2013/6/1,0,200,,2
100-303AA1253810N,PA,100,9999,2000/1/1,0,200,,2
100-303AA1403810N,PA,100,1515,2013/6/1,0,200,,2
100-303AA1403810N,PA,100,9999,2000/1/1,0,200,,2
100-304-200,PA,100,1515,2022/8/24,0,315,,2
100-304-200,PA,100,1515,2013/6/1,0,300,,2
100-304-200,PA,100,9999,2000/1/1,0,300,,2
100-304-230,PA,100,1515,2022/8/24,0,315,,2
100-304-230,PA,100,1515,2013/6/1,0,300,,2
100-304-230,PA,100,9999,2000/1/1,0,315,,2
100-444JB,MC,100,3523,2016/7/20,0,28000,,2
100-444JB,MC,100,3523,2016/5/2,0,17720,,2
100-444JB,MC,100,9999,2000/1/1,0,28000,,2
100-444JB,PA,100,CA,2016/7/29,0,500,,2
100-444LA,MC,100,3399,2016/5/1,0,2500,,2
100-444LA,MC,100,9999,2000/1/1,0,2500,,2
100-444LA,PA,100,3399,2016/6/1,0,500,,2
100-444LA,PA,100,9999,2000/1/1,0,500,,2
100-454AC,PL,100,1973,2013/6/1,0,1490,,2
100-454AC,PL,100,3861,2013/6/1,0,1800,,2
100-454AC,PL,100,9999,2000/1/1,0,1800,,2
100-454AF,PL,100,3861,2013/6/1,0,2200,,2
100-454AF,PL,100,1973,2013/6/1,0,1405,,2
100-454AF,PL,100,9999,2000/1/1,0,2200,,2
100-609JB3,PA,100,1515,2022/8/25,0,315,,2
100-609JB3,PA,100,1515,2013/6/1,0,300,,2
100-609JB3,PA,100,9999,2000/1/1,0,315,,2
100-609KB3,PA,100,1515,2013/6/1,0,300,,2
100-609KB3,PA,100,9999,2000/1/1,0,200,,2
100-609W,PA,100,1515,2013/6/1,0,200,,2
