OYAHMCD,SEQ,STRNO,OYAREVNO,STRSEQ,KOHMCD,SIZEX,SIZEY,SIZEZ,SHAPEQTY,OYAQTYKBN,OYAQTY,OYAUNIT,KOQTY,KOUNIT,VALDEC,HASUKBN,NOTE,REVNOTE,REVDT,REVTANCD,VALFLG
5167-409AA330,1,1,1,1,L-79-409B33-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5177-405AA330,1,1,1,1,L-5177-405AA33-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5201-405BA330,1,1,1,1,L-225-40533-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5215-405BA340,1,1,1,1,L-5163-405BA34-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5217-409AA340,1,1,1,1,L-478-409AA34-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5312-405AA330,1,1,1,1,L-335-405AA33-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5540-405AA360,1,1,1,1,L-335-405AA36-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5540-405BA300,1,1,1,1,L-335-405AA30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
57-405B150,1,1,1,1,L-57-40515-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
57-405B180,1,1,1,1,L-57-40518-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
57-405B200,1,1,1,1,L-57-40520-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
57-405B380,1,1,1,1,L-57-40538-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
57-409D380,1,1,1,1,L-57-40938-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
59-405A120,1,1,1,1,L-59-405A12-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
59-405A080,1,1,1,1,L-59-405A8-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
59-405A90,1,1,1,1,L-59-405A8-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
59-409B120,1,1,1,1,L-59-409B12-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
