ç´ïÔäJénì˙,î≠çsì˙,ëgóßäJénì˙,ê∂éYåééü,ì`ï[ÇmÇè,â¡çHïîî‘,ïîïiñº,ïKóvêî,ñ¢à¯ìñç›å…êî,éËéùÇøç›å…êî,ìæà”êÊíçï∂î‘çÜ,èoå…çœêî
2026/03/12,2026/02/03,2026/02/27,2026034,E000099572,3164-611AA40,SINKER CAM,387,11,11,,0
2026/02/24,2026/02/03,2026/02/06,2026027,E000099261,3164-611AA42,SINKER CAM,137,8,8,,0
2026/03/10,2026/02/03,2026/02/25,2026033,E000099526,3166-511AA15,KNIT CAM,57,0,0,,57
2026/03/23,2026/02/03,2026/03/23,,E000100492,3166-521AA15,KNIT CAM,150,22,22,PM-5178601,
2026/03/23,2026/02/03,2026/03/23,,E000100495,3166-521AA18,KNIT CAM,300,44,44,PM-5178604,
2026/03/30,2026/02/03,2026/03/30,,E000100498,3166-521AA22,KNIT CAM,350,34,34,PM-5178607,
2026/03/23,2026/02/03,2026/03/23,,E000100493,3166-522AA15,TUCK CAM,50,24,24,PM-5178602,
2026/03/23,2026/02/03,2026/03/23,,E000100496,3166-522AA18,TUCK CAM,125,34,34,PM-5178605,
2026/03/30,2026/02/03,2026/03/30,,E000100499,3166-522AA22,TUCK CAM,100,29,29,PM-5178608,
2026/03/23,2026/02/03,2026/03/23,,E000100494,3166-523AA15,WELT CAM,75,19,19,PM-5178603,
2026/03/23,2026/02/03,2026/03/23,,E000100497,3166-523AA18,WELT CAM,225,68,68,PM-5178606,
2026/03/30,2026/02/03,2026/03/30,,E000100500,3166-523AA22,WELT CAM,250,31,31,PM-5178609,
2026/03/10,2026/02/03,2026/02/25,2026033,E000099498,3166-591AA,NEEDLE ARRANGE CAM,1,0,9,,1
2026/03/10,2026/02/03,2026/02/25,2026033,E000099527,3166-611AA14,SINKER CAM,55,0,0,,0
2026/03/10,2026/02/03,2026/02/25,2026033,E000099528,3166-611BA14,SINKER CAM,2,0,0,,0
2026/03/10,2026/02/03,2026/02/25,2026033,E000099529,3166-691AA14,SINKER ARRANGE CAM,1,0,4,,1
2026/02/09,2026/02/03,2026/01/26,2026023,E000099031,3167-521AA34,KNIT CAM,1355,0,65,,1355
2026/03/04,2026/02/03,2026/02/19,2026032,E000099430,3167-521AA34,KNIT CAM,1355,65,65,,0
2026/03/12,2026/02/03,2026/02/27,2026034,E000099573,3167-521AA34,KNIT CAM,1355,0,0,,0
2026/03/17,2026/02/03,2026/03/04,2026035,E000099579,3167-521AA34,KNIT CAM,1355,0,0,,0
2026/04/03,2026/02/03,2026/03/24,2026042,E000099936,3167-521AA34,KNIT CAM,1535,0,0,,0
2026/04/10,2026/02/03,2026/03/31,2026044,E000100018,3167-521AA34,KNIT CAM,1535,0,0,,0
2026/04/20,2026/02/03,2026/04/07,2026046,E000100098,3167-521AA34,KNIT CAM,1535,0,0,,0
2026/04/27,2026/02/03,2026/04/14,2026048,E000100159,3167-521AA34,KNIT CAM,1535,0,0,,0
2026/05/08,2026/02/03,2026/04/22,2026052,E000100582,3167-521AA34,KNIT CAM,1535,0,0,,0
2026/05/14,2026/02/03,2026/04/30,2026054,E000100639,3167-521AA34,KNIT CAM,1535,0,0,,0
2026/02/09,2026/02/03,2026/01/26,2026023,E000099032,3167-522AA34,TUCK CAM,450,450,474,,0
2026/03/04,2026/02/03,2026/02/19,2026032,E000099431,3167-522AA34,TUCK CAM,450,24,24,,0
2026/03/12,2026/02/03,2026/02/27,2026034,E000099574,3167-522AA34,TUCK CAM,450,0,0,,0
2026/03/17,2026/02/03,2026/03/04,2026035,E000099580,3167-522AA34,TUCK CAM,450,0,0,,0
2026/04/03,2026/02/03,2026/03/24,2026042,E000099937,3167-522AA34,TUCK CAM,510,0,0,,0
2026/04/10,2026/02/03,2026/03/31,2026044,E000100019,3167-522AA34,TUCK CAM,510,0,0,,0
2026/04/20,2026/02/03,2026/04/07,2026046,E000100099,3167-522AA34,TUCK CAM,510,0,0,,0
2026/04/27,2026/02/03,2026/04/14,2026048,E000100160,3167-522AA34,TUCK CAM,510,0,0,,0
2026/05/08,2026/02/03,2026/04/22,2026052,E000100583,3167-522AA34,TUCK CAM,510,0,0,,0
2026/05/14,2026/02/03,2026/04/30,2026054,E000100640,3167-522AA34,TUCK CAM,510,0,0,,0
2026/02/09,2026/02/03,2026/01/26,2026023,E000099033,3167-523AA34,WELT CAM,450,450,512,,0
2026/03/04,2026/02/03,2026/02/19,2026032,E000099432,3167-523AA34,WELT CAM,450,62,62,,0
2026/03/12,2026/02/03,2026/02/27,2026034,E000099575,3167-523AA34,WELT CAM,450,0,0,,0
2026/03/17,2026/02/03,2026/03/04,2026035,E000099581,3167-523AA34,WELT CAM,450,0,0,,0
2026/04/03,2026/02/03,2026/03/24,2026042,E000099938,3167-523AA34,WELT CAM,510,0,0,,0
2026/04/10,2026/02/03,2026/03/31,2026044,E000100020,3167-523AA34,WELT CAM,510,0,0,,0
2026/04/20,2026/02/03,2026/04/07,2026046,E000100100,3167-523AA34,WELT CAM,510,0,0,,0
2026/04/27,2026/02/03,2026/04/14,2026048,E000100161,3167-523AA34,WELT CAM,510,0,0,,0
2026/05/08,2026/02/03,2026/04/22,2026052,E000100584,3167-523AA34,WELT CAM,510,0,0,,0
2026/05/14,2026/02/03,2026/04/30,2026054,E000100641,3167-523AA34,WELT CAM,510,0,0,,0
2026/02/09,2026/02/03,2026/01/26,2026023,E000099034,3167-525AA30,GATE CAM,20,0,22,,20
2026/03/04,2026/02/03,2026/02/19,2026032,E000099433,3167-525AA30,GATE CAM,20,20,22,,0
2026/03/12,2026/02/03,2026/02/27,2026034,E000099576,3167-525AA30,GATE CAM,20,2,2,,0
2026/03/17,2026/02/03,2026/03/04,2026035,E000099582,3167-525AA30,GATE CAM,20,0,0,,0
2026/04/03,2026/02/03,2026/03/24,2026042,E000099939,3167-525AA34,GATE CAM,20,14,14,,0
2026/04/10,2026/02/03,2026/03/31,2026044,E000100021,3167-525AA34,GATE CAM,20,0,0,,0
2026/04/20,2026/02/03,2026/04/07,2026046,E000100101,3167-525AA34,GATE CAM,20,0,0,,0
2026/04/27,2026/02/03,2026/04/14,2026048,E000100162,3167-525AA34,GATE CAM,20,0,0,,0
2026/05/08,2026/02/03,2026/04/22,2026052,E000100585,3167-525AA34,GATE CAM,20,0,0,,0
